,author,comment,published_at
99,@nonnijung,สิ่งที่จริงคือ เค้าไปมีคนใหม่นานแล้ว แต่เรายังไม่ลืมเธอ และไม่กล้าไปรักใครอีกเพราะลืมเธอไม่ได้😂😂,2025-04-24T02:39:48Z
100,@bootclashboy,👏👏👏,2025-04-24T02:14:16Z
101,@Tabikearu,สวยงามมาก ๆ เลยครับ,2025-04-24T02:11:54Z
102,@woundup8724,🥰🥰🥰,2025-04-24T01:35:21Z
103,@birdmobile28,คุณยังเผลอคิดถึงผมอยู่บ้างไหม,2025-04-23T18:17:39Z
104,@nomin-ni7pl,มีคนผ่านเข้ามาหาตั้งเยอะแยะ แต่นั่นแหละ ทำให้รู้ว่าทุกวินาทีเราไม่เคยลืมแกได้เลย 🥀,2025-04-23T17:07:47Z
105,@benzaza44,🖤🥀🐻,2025-04-23T17:00:47Z
106,@안다-71,ฟังเพลงนี้เเล้วเเบบมันกลั้นน้ำตาไม่ไหวอยากมอบให้คนๆนึ่ง😢😭,2025-04-23T16:54:14Z
107,@Spybypai,แกแชร์เพลงนี้ให้ใครในสตอรี่หรอ…แกไม่กล้ารักใครใหม่ได้ไง…ในเมื่อแกก็มีเขาคนนั้นใหม่แล้วอะ…แกรักใครไหวไปตั้งนานแล้วเราต่างหากที่รักใครใหม่ไม่ไหว 😢,2025-04-23T15:51:23Z
108,@ครูเปิ้ลสอนขับรถ,😢,2025-04-23T15:04:06Z
109,@sonsean1983,เมื่อก่อนในวงมีผู้หญิง และเป็นรักสามเศร้า สุดท้ายผู้หญิงในวงตาย เพลงนี้แต่งมานานแล้ว เพิ่งเอามาทำใหม่ เรื่องจริง,2025-04-23T14:17:13Z
110,@KyiKyi-h4k,ไปรักใครต่อไม่ไหวจริงๆ😢,2025-04-23T13:31:26Z
111,@Banananoha-m9t,แงงทิ้ง Mustang  ดังตุ๊บ,2025-04-23T13:20:59Z
112,@Tor_fr_lol,5M view ❤🎉,2025-04-23T12:23:31Z
113,@phichaaa_m94,ชีวิตในวัย 30 นี้ ฉันไม่มีเธออีกแล้ว 🖤 #ไม่กล้าไปรักใครเลย😢,2025-04-23T10:05:36Z
114,@Rimuru-kun21,เพลงนี้ตรงกับสิ่งที่ผมเป็นอยู่ตอนนี้มากๆผมลองหลายครั้งที่จะลองหาเเต่มันก็ไม่รู้สึกในใจเวลาเราเจออะไรที่เขาชอบหรืออะไรต่างๆมันชอบนึกถึงเรื่องของเขาตลอดเขามีคนใหม่เเล้วเเต่ความรู้สึกของผมมันก็ไม่ได้ลดลงเลยมันรู้เจ็บข้างในเเต่สุดท้ายเราก็ทําอะไรไม่ได้,2025-04-23T05:59:51Z
115,@KhattaleeyaSinthukhotd,เหมือนกับกูตอนนี้ซินะ!!!,2025-04-23T05:01:35Z
116,@รณชัยคําบุญเกิด-ฌ7ช,ออกจากเพลงนี้ไม่ได้เลยฟังวนอยู่อย่างนั้น,2025-04-23T04:40:02Z
117,@donutnutchalin,เริ่มใหม่ยังไม่ได้เลยจริงๆ :(,2025-04-23T04:30:36Z
118,@bootclashboy,👏👏👏👏,2025-04-23T01:19:30Z
119,@หลวงนนท์,😢,2025-04-22T18:14:04Z
120,@Luffy246-y8g,🎉,2025-04-22T15:51:16Z
121,@จักรพันธ์คงช่วย-จ7ง,🥲🥲,2025-04-22T14:45:19Z
122,@ธิติสรรตระกูลพิทักษ์กิจ,🥲,2025-04-22T14:28:58Z
123,@dearjtr4057,❤,2025-04-22T12:02:42Z
124,@minormajor5642,รักใครไม่ไหวจริงๆนะ ขนาดตัวเองยังไม่รักเลย,2025-04-22T10:59:14Z
125,@Suphachaijoho,เพลงนี้ดังแน่จากพ่อค้าขายลำโพง😊,2025-04-22T10:50:51Z
126,@อัครเดชเข็มเพ็ชร,ลองเรึ่มใหม่หลายครั่งก็ยังไม่เคยเรึ่มต้นได้สักทีเลยเพราะเราลองแล้วจิงๆๆ,2025-04-22T10:06:26Z
127,@nenhe.,ฟังจบแล้ว ร้องแล้ว ลงเพลงใหม่ต่อได้เลยค่ะ พร้อมร้องไห้ต่อ 😅,2025-04-22T08:19:41Z
128,@สิปปวิชญ์ฤทธิมนตรี,ท่อนฮุก😢,2025-04-22T07:03:34Z
129,@coocxo,100Mไปเลย สุดทางรัก😢❤,2025-04-22T05:33:14Z
130,@hassananswitchingfxxkon3912,นึกว่าจะไม่ได้เห็นซีนหมูทะซะแล้ว,2025-04-22T05:23:47Z
131,@TH-fc1tl,ผมว่าเพลงนี้วงทําให้กับพี่โอม TMD เเน่เลยค้าบ,2025-04-22T05:19:28Z
132,@ikkyu2818,รักใครไม่ไหว ไม่ใช่เพราะยังรักอยู่ แต่มันไม่กล้าไปเริ่มใหม่ สิ่งที่ยังอยู่ในใจเรามันไม่ใช่เธอ แต่มันเป็นแผลที่เธอทำสร้างไว้,2025-04-22T02:47:58Z
133,@กอล์ฟนะครับ-ญ8ศ,💖💖💖,2025-04-22T02:02:34Z
134,@fuangfahkrongngam7867,😢,2025-04-22T01:09:47Z
135,@SatapatChaisongkram,ต้องแบบนี้สิ ยกให้เป็นเดอะเบสส เลย👍👍,2025-04-22T00:51:30Z
136,@meen-y6u,อีกนานแค่ไหนกว่าทีไปเริ่มใหม่,2025-04-22T00:51:03Z
137,@parkerpeter8630,+,2025-04-22T00:22:08Z
138,@Gamesnukchannel,😌,2025-04-21T20:11:56Z
139,@noo_m3588,สุยอดด,2025-04-21T19:36:38Z
140,@tucktucktucktuck2987,ดนตรีเเน่มากครับเพลงนี้,2025-04-21T19:21:44Z
141,@Gorroreainor,รักใครไม่ไหวจริงๆเพราะยังคงคิดถึงแต่เธอคนเดิม,2025-04-21T15:22:30Z
142,@ธวัชชัยยุติ-ล3ญ,👍👍👍,2025-04-21T13:51:14Z
143,@FlukeAthit0,😢,2025-04-21T12:37:40Z
144,@OngChy,ไม่เข้าใจตอนจบ,2025-04-21T12:04:55Z
145,@MaKwangz,ก็เพราะเสพติดเพลงทรีแมนดาวน์นี่ละ  เลยมีแฟนใหม่ไม่ได้ซักที 😂😂,2025-04-21T10:57:59Z
146,@JaycbJdyfc,เป็นเธอนี่ดีเนอะ ขนาดเราเลิกกันไปตั้งนานเรายังไม่กล้านอกใจเธอเลย,2025-04-21T10:51:18Z
147,@galaewxn,เพลงเพราะกินใจมากครับ แต่เปิดมาจริงจังห์ก็หลุดขำนิดหน่อย,2025-04-21T08:26:00Z
148,@gaiger7xstudio.49,ไม่กล้าไปเริ่มใหม่จริงๆและ แต่ไม่ใช่เพราะว่ายังรักนะ แต่กลัวจะจบแบบเดิม.,2025-04-21T07:02:52Z
149,@sonsean1983,ชอบมาก,2025-04-21T06:34:14Z
150,@ณัฐวุฒิสงทุ่ง,จบไม่สวย เศร้า 555  น่าจะมีภาคต่อ นางเอกกลับเลือกพระเอกตัวจริง,2025-04-21T05:55:43Z
151,@imc6910,Chưa có ny bao giờ nhưng mà nghe bài này thất tình ngang 😛,2025-04-21T04:13:59Z
152,@Semakutee,โคตรชอบเพลงนี้ ตั้งแต่ฟังเพลงของวงนายมา,2025-04-21T03:33:41Z
153,@silky4994,"รักแค่สุข
หากทุกข์ อย่ารัก 🤍",2025-04-21T01:03:16Z
154,@จักรพันธ์คงช่วย-จ7ง,🥹🥹🥹,2025-04-21T00:09:23Z
155,@noo_m3588,เป็นวงที่ถูกใจมากก ต่อจาก bodyslam,2025-04-20T19:43:14Z
156,@kritsadadanrangub5041,ไม่กล้าเริ่มใหม่จริงๆ 🥲,2025-04-20T19:26:11Z
157,@ณัฐดนัยแก้วโก๋,😔,2025-04-20T17:22:04Z
158,@ณัฐดนัยแก้วโก๋,😢,2025-04-20T17:21:49Z
159,@pittayaphochaikot9467,เชื่อเรื่องทิศดี2วันไหมรักมา2ปีกว่าแล้วทะเลอะกัน2วันแล้วเขาคุยกันเรื่อยๆจนสุดท้ายได้เลยกันรักใครมาก็เจอเรื่องแบบนี้,2025-04-20T17:09:34Z
160,@nunthawatsrivises,แผลที่อยู่ในใจ ไม่มีใครเห็นหรอกว่ามันใหญ่แค่ไหน เจ้าของบาดแผลเท่านั้นแหละที่รู้สึกถึงมันได้ แต่ก็ยังหวังว่าวันนึงมันจะหายดี แล้วสามารถนึงมันได้ โดยไม่เจ็บปวด,2025-04-20T16:03:43Z
161,@xxypher.,ฟังเพลงนี้กับแฟนตอนยังคบกัน ผมก็เฉยๆนะครับ คิดว่าก็เพราะดี ก็tmd อีกเพลงนึง แต่พอเลิกกัน มันเพราะขึ้นเป็นพันเท่าเลยครับ มันบอกความรู้สึกทุกอย่างของผมในตอนนี้เลยจริงๆ,2025-04-20T15:41:34Z
162,@hongkongcat,LIKE from Hong Kong,2025-04-20T13:54:43Z
163,@dewxcx5722,คิดถึงมากชอบกลิ่นอาบแนวเพลงนี้สุด ตั้งแต่อัลบั้มเมือง(ผมเรียกชื่อบั้มถูกมั้ยขออภัยคับ)555555,2025-04-20T12:28:25Z
164,@เกิดมาเพื่ิอสิ่งนี้-ว8ฃ,ลอง0.9เพราะมาก,2025-04-20T12:26:15Z
165,@ณรงค์ชัยศรีสว่าง,ชอบมากเลยครับ❤❤❤❤เนื้อหาดีมากครับ,2025-04-20T12:19:07Z
166,@Dejavu0901,รัก&คิดถึง ทุกๆวัน pb🩷,2025-04-20T11:15:13Z
167,@kunchickth.5990,👍,2025-04-20T07:12:50Z
168,@fearzblacklist7530,😢😢😢,2025-04-20T06:14:06Z
169,@lovestory3518,ชอบทุกอย่าง ยกเว้นหนวดตากิต 😅,2025-04-20T05:52:37Z
170,@exwanmaiayuttaya9301,😅😅😅😅,2025-04-20T05:38:49Z
171,@acharapanyanchimpree8285,🥲🤍,2025-04-20T05:23:46Z
172,@peerapatratchusiri5564,ดู MV จบแล้วแอบนึกถึงมือเบสคนเดิม,2025-04-20T04:59:29Z
173,@อภิชาติจินพล-ห4ฑ,สำหรับคนไม่เข้าใจ MV นะครับ สรุปสั้นๆคือ นักร้องชอบมือกลองคับ 😅,2025-04-19T23:53:58Z
174,@จิติศักดิ์ศรีลาธรรม-ง1น,ลองแล้วครับ🖤😔🥲,2025-04-19T21:00:57Z
175,@saransonanan5378,"ฉันเคยลองทำทุกวิธีทางแล้ว
สุดท้ายไม่มีใครแทนที่เธอได้เลย😢",2025-04-19T20:18:19Z
176,@ธฤตนิลบรรพต-จ6ช,100m+จากคนที่ชอบแนวเพลงนี้,2025-04-19T17:27:16Z
177,@oaenatcha231,"โดนนนน,!!! ลืมเธอไม่ลง และรักใครไม่ไหว มีแค่เธอคนเดียว🥹",2025-04-19T14:32:18Z
178,@mr.indyzzz235,ตอนต้นคลิปใส่ซับผิดรึป่าวครับ ลืม ห์ จริงจังห์ 😂😂,2025-04-19T14:15:20Z
179,@FlukStory99,แทบไม่กล้าไปรักคนอื่นเลยรักใครไม่ไหว😢,2025-04-19T13:43:18Z
180,@กอล์ฟนะครับ-ญ8ศ,💖💖,2025-04-19T12:30:31Z
181,@ภานุวัฒน์เดชพร-ด6ศ,อธิบายmvให้ผมอ่านหน่อยครับผมไม่ค่อยเข้าใจช่วงท้ายๆ,2025-04-19T11:04:25Z
182,@alittlefon,เพลงมันส์มากค่ะ 👍🏻👍🏻,2025-04-19T10:37:35Z
183,@zorfaa3821,เพลงเค้าดีย์ทุกเพลงจีงๆ🩷,2025-04-19T09:41:34Z
184,@dyno8714,เพลงเพราะ   ความหมายดี ❤,2025-04-19T09:01:29Z
